train_loss,val_loss,val_acc,gap_m
10.431216,16.333992,11.875,0.02091034603117209
10.30653,16.408413,11.875,0.02879990208532503
9.999919,16.40803,10.0,0.025805682174932405
9.869099,16.161802,10.625,0.029606593208945032
9.777346,16.244553,13.750000000000002,0.05593828994230487
9.693693,16.381058,9.375,0.040067436034341354
9.6273155,15.863116,18.75,0.06197439985814256
9.531431,15.964048,18.75,0.06923516716401644
9.43238,15.649243,16.875,0.07405199708123189
9.326318,15.712484,21.25,0.09485281144280278
9.166934,15.7193165,23.125,0.10250108519779255
9.001289,15.806868,20.0,0.08835663807080774
8.843683,16.155848,15.0,0.0489064747301676
8.750482,15.687975,20.625,0.1111376587533874
8.549502,15.58105,24.375,0.12732925197123632
8.308322,15.733365,22.5,0.1257271945606849
8.122744,15.726474,23.75,0.11442762626186004
7.8985915,16.448212,22.5,0.11987791738711547
7.563079,16.880375,16.25,0.08047272198741597
7.2484083,16.044687,26.875,0.16845530667262235
6.9107985,16.891968,21.875,0.12090680976723285
6.517479,16.166227,21.25,0.11638632307429103
6.0265384,16.306059,21.25,0.11833672401129014
5.652184,15.919655,29.375,0.15775654314948268
5.212494,16.171698,31.25,0.1888402791124283
4.6585093,16.134321,28.125,0.17572417686344935
4.2094793,16.831472,26.25,0.15645901737903103
