train_loss,val_loss,val_acc,gap_m
7.698969,11.993274,10.625,0.017584832732787565
7.579063,12.020201,8.75,0.011140495613069585
7.3514085,12.045381,8.75,0.008152337375239623
7.2598205,11.891253,10.625,0.03753283871199162
7.1448894,11.824374,15.0,0.06099106417329278
7.022224,11.976137,11.875,0.04365644750749248
6.905346,11.666399,17.5,0.062416838884365215
6.8064976,11.610386,18.125,0.08210096731159965
6.6703043,11.451742,23.125,0.10694541932694397
6.5655074,11.428329,23.125,0.1325817931716937
6.4002914,11.331652,16.875,0.10004509673226697
6.276229,11.000262,30.0,0.1774983931503506
6.078074,11.473093,25.0,0.12766221484338935
5.9016795,11.266599,26.875,0.1634563816992851
5.721235,11.889371,20.625,0.09797283106585422
5.4184523,11.466174,24.375,0.14589868995710584
5.2411065,11.634634,23.75,0.12084701232240186
4.935589,12.055063,24.375,0.12565219145916492
4.5902557,11.861738,23.75,0.1451465107807742
4.295887,11.500458,31.25,0.19342187700766597
3.8947098,11.916354,26.25,0.1448573134846975
3.5463426,11.406192,26.875,0.166773889382005
3.1642509,11.275854,33.125,0.19390582365390557
2.8224108,11.505863,25.624999999999996,0.16116855640280017
2.4401112,11.194418,34.375,0.23077267225591888
2.11934,11.996028,27.500000000000004,0.16472882770941172
1.7857807,11.875834,26.875,0.17523536512836094
1.4609281,12.003617,28.125,0.19359248427265363
1.1534106,11.912904,30.625000000000004,0.20724338607968074
0.9699959,11.57882,33.125,0.20587115778300125
0.77377653,11.890416,33.125,0.22513356973397816
